product_id,Column1,type,category , sub_category
P0571,"Namkeen - Chow Chow, Special (Sln  )","Jam, Conserve, Marmalade",Snacks & Branded Foods ," Spreads, Sauces, Ketchup"
P0572,7 O Click - Permasharp Stainless Blade (Gillette),Chilli & Soya Sauce,Snacks & Branded Foods ," Spreads, Sauces, Ketchup"
P0574,Powder - Sambar (Sakthi),Chilli & Soya Sauce,Snacks & Branded Foods ," Spreads, Sauces, Ketchup"
P0575,Drumstick/Moringa (Fresho),Chilli & Soya Sauce,Snacks & Branded Foods ," Spreads, Sauces, Ketchup"
P0576,Fruity Soap Enriched with Narural Lemon Extract (Harmony),"Pen, Pencils",Cleaning & Household , Stationery
P0577,Fruity Soap Enriched with Narural Lime Extract (Harmony),"Scissor, Glue & Tape",Cleaning & Household , Stationery
P0578,Bath Soap - Fruity Orange Flavour (Harmony),"Scissor, Glue & Tape",Cleaning & Household , Stationery
P0579,Honey Oats Cookies (Tasties),Buttermilk & Lassi,"Bakery, Cakes & Dairy ", Dairy
P0580,"Banana - Raw, Organically Grown (Fresho)","Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0581,Bottle Gourd - Organically Grown (Fresho),Curd,"Bakery, Cakes & Dairy ", Dairy
P0582,Radish - Organically Grown (Fresho),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0583,"Brinjal - Green, Round (Fresho)",Buttermilk & Lassi,"Bakery, Cakes & Dairy ", Dairy
P0584,Ready to Cook - Potato French Fries (Fresho),Buttermilk & Lassi,"Bakery, Cakes & Dairy ", Dairy
P0585,Onion - Thin Sliced (Fresho),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0587,Tomato - Diced (Fresho),Yogurt & Shrikhand,"Bakery, Cakes & Dairy ", Dairy
P0588,Masala - Fish Curry (Annapoorna),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0589,Instant Pasta - Tomato Salsa (Weikfield),Dishwash Liquids & Pastes,Cleaning & Household , Detergents & Dishwash
P0590,Baking Powder (Weikfield),Dishwash Liquids & Pastes,Cleaning & Household , Detergents & Dishwash
P0591,Sauce - Hot and Sweet Tomato Chilli (MAGGI ),Soda & Cocktail Mix,Beverages , Energy & Soft Drinks
P0592,Binder Clip - 19mm (Ravi Agencies),Soda & Cocktail Mix,Beverages , Energy & Soft Drinks
P0593,Organic Sprouts Mixed Gram (Fresho),Cold Drinks,Beverages , Energy & Soft Drinks
P0594,Organic Sprouts Channa Brown (Fresho),Sports & Energy Drinks,Beverages , Energy & Soft Drinks
P0595,Potato - Wedges (Fresho),Cold Drinks,Beverages , Energy & Soft Drinks
