product_id,Column1,type,category , sub_category
P0097,Breath Mint - The Mint With The Hole (Polo),Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0098,White Chocolate Bar (Nestle ),Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0099,Sunrise Coffee (Nescafe ),Mints & Chewing Gum,Snacks & Branded Foods , Chocolates & Candies
P0100,Traditional Filter Coffee Decoction (iD),Mints & Chewing Gum,Snacks & Branded Foods , Chocolates & Candies
P0101,"Coffee - Premix, Instant (Narasus)",Mints & Chewing Gum,Snacks & Branded Foods , Chocolates & Candies
P0102,"Brinjal - Varikatri, Organically Grown (Fresho)","Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0103,Dill Leaves (Fresho),"Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0104,Sugarcane (Fresho),Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0105,Juice - Mango Refresh (Maaza),Instant Coffee,Beverages , Coffee
P0108,Coriander Leaves (Fresho),Instant Coffee,Beverages , Coffee
P0109,Lemon Grass (Fresho),Instant Coffee,Beverages , Coffee
P0110,"Chikki, Peanut Bar (Paper Boat)",Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0111,Secret Schezwan Fried Rice Masala (Chings),Leafy Vegetables,Fruits & Vegetables , Fresh Vegetables
P0112,Paneer Chilli Masala (Ching'S Secret),Seasonal Fruits,Fruits & Vegetables , Fresh Fruits
P0113,Secret Veg Manchurian Masala (Chings),Juices,Beverages , Fruit Juices & Drinks
P0114,Masala - Lemon Rice Powder (MTR),Indian & Exotic Herbs,Fruits & Vegetables , Herbs & Seasonings
P0115,Masala - Tomato Rice Powder (MTR),Indian & Exotic Herbs,Fruits & Vegetables , Herbs & Seasonings
P0116,Secret Chowmein Hakka Noodles Masala (Chings),Chikki & Gajjak,Snacks & Branded Foods , Indian Mithai
P0117,Utensil Scrubber - Green (Milton - Spotzero),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0118,Noodles - Fiery Chilli (Top Ramen ),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0119,Mint - Organically Grown (Fresho),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0122,Kale (Fresho),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0123,Tulsi Leaves (Fresho),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0124,Pooja Agarbatti - Treya 3 in 1 (Mangaldeep),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0125,"Incense Sticks - Namo Paduka, Scented (GIRI)",Bathing Bars & Soaps,Beauty & Hygiene , Men's Grooming
P0126,Instant Sweet Corn Cup-A-Soup (Knorr),"Utensil Scrub-Pad, Glove",Cleaning & Household ," Mops, Brushes & Scrubs"
P0127,Cup-A-Soup - Hot & Sour Veg (Knorr),Instant Noodles,Snacks & Branded Foods ," Noodle, Pasta, Vermicelli"
P0128,Instant Mixed Vegetable Cup-A-Soup (Knorr),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0129,Namkeen - Aloo Bhujia (Haldirams ),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0130,Namkeen - Bhujia Sev (Haldirams ),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0131,Namkeen - Tasty Nuts (Haldirams ),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0132,Potato Chips - Calm Cream & Onion Flavour (Lays),"Agarbatti, Incense Sticks",Cleaning & Household , Pooja Needs
P0133,Namkeen - Lite Chiwda (Haldirams ),"Agarbatti, Incense Sticks",Cleaning & Household , Pooja Needs
P0134,Namkeen - Mixture (Haldirams ),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0135,Nachos Cheese Tortilla Chips (Doritos),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0136,Namkeen - Lemon Bhel (Haldirams ),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0137,Namkeen - Chilli Chatka (Kurkure),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0138,Namkeen - Madras Mixture (Townbus),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0139,Namkeen - Ribbon Pakoda (Townbus),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0140,Namkeen - Green Chutney Rajasthani Style (Kurkure),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0141,Sweet Chilli Tortilla Chips (Doritos),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0142,Namkeen - Corn Flakes Mixture (Townbus),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0143,Mad Angles Chips - Tomato Madness (Bingo),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0144,Namkeen - Naughty Tomatoes (Kurkure),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0145,Masala Balls Snacks (Cheetos),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0146,Mad Angles Achari Masti (Bingo),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0147,Instant Diet Popcorn - Contains Olive Oil (PIPO),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0148,Instant Popcorn - Chilli Surprise (PIPO),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0149,Instant Popcorn - Butter Lovers (PIPO),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0150,Namkeen - Moong Dal (Haldirams ),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0151,Hot & Sweet Chilli (Lays),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0152,Namkeen - Butter Murukku (Townbus),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0154,Namkeen - Khara Boondi (Townbus),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0155,Mad Angles Cheese Nachos Chips (Bingo),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0156,Potato Crisps - Cream 'N' Onion (Parle),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0157,"Gel Pen - Black, Octane (Classmate)",Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0158,Butter Gelpen - Blue (Cello),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0159,Glare Mech Pencil (Nataraj),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0160,Tru Mango (Amul),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0161,Tru Litchi (Amul),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0162,Tru Orange (Amul),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0163,Tru Apple (Amul),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0164,Daily Fresh Dahi (Britannia),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0165,Dishwash Bar (Pril),"Pen, Pencils",Cleaning & Household , Stationery
P0166,Active - Detergent Cake Blue (Wheel ),"Pen, Pencils",Cleaning & Household , Stationery
P0167,Strawberry Drink (Ala Fresh),"Pen, Pencils",Cleaning & Household , Stationery
P0169,Apple Drink (Ala Fresh),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0170,Pineapple Drink (Ala Fresh),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0171,Watermelon Drink (Ala Fresh),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0172,Orange Drink (Ala Fresh),"Flavoured, Soya Milk","Bakery, Cakes & Dairy ", Dairy
P0173,Litchi Drink (Ala Fresh),Curd,"Bakery, Cakes & Dairy ", Dairy
P0174,Kiwi Drink (Ala Fresh),Dishwash Bars & Powders,Cleaning & Household , Detergents & Dishwash
P0175,Apple Juice Based Drink (Appy Fizz),Detergent Bars,Cleaning & Household , Detergents & Dishwash
P0176,"Sanitary Napkin - Extra Long, Travel Pack (Niine)",Gourmet Juices & Drinks,Gourmet & World Food , Drinks & Beverages
P0177,Cabbage (Fresho),Gourmet Juices & Drinks,Gourmet & World Food , Drinks & Beverages
P0178,Cucumber (Fresho),Gourmet Juices & Drinks,Gourmet & World Food , Drinks & Beverages
P0179,Colocasia (Fresho),Gourmet Juices & Drinks,Gourmet & World Food , Drinks & Beverages
P0180,Betel Leaf (Fresho),Gourmet Juices & Drinks,Gourmet & World Food , Drinks & Beverages
P0181,Colocasia - Organically Grown (Fresho),Gourmet Juices & Drinks,Gourmet & World Food , Drinks & Beverages
P0182,Organic Garlic Powder - Dehydrated (bb Royal),Gourmet Juices & Drinks,Gourmet & World Food , Drinks & Beverages
P0183,Orange Chewy Dragees (Mentos),Cold Drinks,Beverages , Energy & Soft Drinks
P0184,Moonfils Orange (Bauli),Organic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0185,Beetroot (Fresho),Indian & Exotic Herbs,Fruits & Vegetables , Exotic Fruits & Veggies
P0186,Basale Leaf (Fresho),Sanitary Napkins,Beauty & Hygiene , Feminine Hygiene
P0187,Pain Relief Cream (Moov),Cabbage & Cauliflower,Fruits & Vegetables , Fresh Vegetables
P0188,Yippee Magic Masala Noodles (Sunfeast),Cucumber & Capsicum,Fruits & Vegetables , Fresh Vegetables
P0189,1-2-3 Noodles - Chicken Flavour (Wai Wai),Root Vegetables,Fruits & Vegetables , Fresh Vegetables
P0190,1-2-3 Noodles - Veg Masala Flavour (Wai Wai),Leafy Vegetables,Fruits & Vegetables , Fresh Vegetables
P0192,"Capsicum - Green, Organically Grown (Fresho)",Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0193,Puja Wicks - Lingam Batti (Jaji),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0194,Khatta Meetha (Tasties),Organic Masalas & Spices,"Foodgrains, Oil & Masala ", Organic Staples
P0195,Moong Dal (Tasties),"Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0196,Aloo Bhujia (Tasties),"Croissants, Bagels","Bakery, Cakes & Dairy ", Gourmet Breads
P0197,CUBE Detergent Bar 2 In 1 (Ok),Root Vegetables,Fruits & Vegetables , Fresh Vegetables
P0198,Snake Gourd (Fresho),Leafy Vegetables,Fruits & Vegetables , Fresh Vegetables
P0199,"Chilli - Green Long, Medium (Fresho)",Everyday Medicine,Beauty & Hygiene , Health & Medicine
P0200,"Gold Glow Face Wash For Radiant Skin With Gold, Chandan, Turmeric (Olivia)",Instant Noodles,Snacks & Branded Foods ," Noodle, Pasta, Vermicelli"
P0201,"Ultra-Fresh Fairness Face Wash With Milk, Licorice, Saffron (Olivia)",Instant Noodles,Snacks & Branded Foods ," Noodle, Pasta, Vermicelli"
P0202,"Herbal Acne Repair Face Wash For Clear Skin With Neem, Tulsi, Aloe Vera (Olivia)",Instant Noodles,Snacks & Branded Foods ," Noodle, Pasta, Vermicelli"
P0203,Safal Steel Scrubber (Exo),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0204,Spring Onion (Fresho),Camphor & Wicks,Cleaning & Household , Pooja Needs
P0205,Coccinia - Organically Grown (Fresho),Instant Noodles,Snacks & Branded Foods , Snacks & Namkeen
P0206,Drumstick - Organically Grown (Fresho),Instant Noodles,Snacks & Branded Foods , Snacks & Namkeen
P0208,Neem Giloy (Amruta Balli) - Organically Grown (Fresho),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0209,Curry Leaves - Organically Grown (Fresho),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0210,Post It - 1.5 x 2 Inches (Oddy ),Namkeen & Savoury Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0211,"Treat Croissant - Cocoa Creme Roll, 100% Veg (Britannia)",Detergent Bars,Cleaning & Household , Detergents & Dishwash
P0212,"Treat Croissant - Vanilla Creme Roll, 100% Veg (Britannia)",Organic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0213,Nacho Crisps - Tikka Masala (Cornitos),"Gourd, Pumpkin, Drumstick",Fruits & Vegetables , Fresh Vegetables
P0214,Nacho Crisps - Tomato Mexicana (Cornitos),"Lemon, Ginger & Garlic",Fruits & Vegetables , Herbs & Seasonings
P0215,Nacho Crisps - Cheese & Herbs (Cornitos),Face Care,Beauty & Hygiene , Skin Care
P0216,Nacho Crisps - Barbeque (Cornitos),Face Care,Beauty & Hygiene , Skin Care
P0217,Chewy Candy Stick - Strawberry Flavour (Mentos),Face Care,Beauty & Hygiene , Skin Care
P0218,Chalk Cockroach Killer (HIT),"Utensil Scrub-Pad, Glove",Cleaning & Household ," Mops, Brushes & Scrubs"
P0219,Capsicum - Green (Fresho),Leafy Vegetables,Fruits & Vegetables , Fresh Vegetables
P0220,Beans - Cluster (Fresho),Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0221,Brinjal - Varikatri (Fresho),Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0222,Tomato - Hybrid (Fresho),Organic Vegetables,Fruits & Vegetables , Herbs & Seasonings
P0223,Bitter Gourd - Organically Grown (Fresho),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0224,Lettuce - Green (Fresho),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0225,Fresh Turmeric - Organically Grown (Fresho),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0226,"Chilli - Bajji, Mild (Fresho)",Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0227,Mustard/Sasive/Rai - Small (bb Popular),"Scissor, Glue & Tape",Cleaning & Household , Stationery
P0228,Salt/Uppu - Free Flow (Akar),Gourmet Bread,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0229,Snake Gourd - Organically Grown (Fresho),Gourmet Bread,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0230,Toothbrush - Junior (Patanjali),Gourmet Bread,"Bakery, Cakes & Dairy ", Gourmet Breads
P0231,Aloe Vera Kanti - Body Cleanser Soap (Patanjali),Gourmet Bread,"Bakery, Cakes & Dairy ", Gourmet Breads
P0232,Marie Light Biscuit - Vita Orange (Sunfeast),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0233,Kitkat 2 Fingers (Nestle ),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0234,Platina - Nutricrunch Digestive Marie (Parle),Nachos & Chips,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0235,NutriChoice Oats Cookies - Orange Almond (Britannia),Nachos & Chips,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0237,NutriChoice Oats Cookies - Milk Almond (Britannia),Nachos & Chips,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0238,Bun - Burger (English Oven),Nachos & Chips,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0239,Masala Oats - Classic Masala (Saffola),Mints & Chewing Gum,Snacks & Branded Foods , Chocolates & Candies
P0240,Masala Oats - Masala & Coriander (Saffola),Insect Repellent,Cleaning & Household , Fresheners & Repellents
P0241,Masala Oats - Peppy Tomato (Saffola),Cucumber & Capsicum,Fruits & Vegetables , Fresh Vegetables
P0242,Masala Oats - Curry & Pepper (Saffola),"Beans, Brinjals & Okra",Fruits & Vegetables , Fresh Vegetables
P0243,Masala Oats - Pongal Surprise (Saffola),"Beans, Brinjals & Okra",Fruits & Vegetables , Fresh Vegetables
P0245,Moonfils - Vanilla (Bauli),"Potato, Onion & Tomato",Fruits & Vegetables , Fresh Vegetables
P0246,Pineapple Cake (Britannia),Organic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0247,Moonfils Veg - Choco (Bauli),Exotic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0249,Moonfils - Strawberry (Bauli),Organic Vegetables,Fruits & Vegetables , Herbs & Seasonings
P0250,Gobbles Orange Bites Cake (Britannia),"Lemon, Ginger & Garlic",Fruits & Vegetables , Herbs & Seasonings
P0251,Milk Cake (Britannia),Whole Spices,"Foodgrains, Oil & Masala ", Masalas & Spices
P0252,Moonfils Veg - Strawberry (Bauli),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0253,Chewy Candy Stick - Mint Flavour (Mentos),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0254,Marigold Flower - Yellow (Fresho),Salts,"Foodgrains, Oil & Masala "," Salt, Sugar & Jaggery"
P0255,Bottle Gourd (Fresho),Exotic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0256,Ash Gourd - Cut (Fresho),Organic Vegetables,Fruits & Vegetables , Organic Fruits & Vegetables
P0257,Baby Corn - Unpeeled (Fresho),Baby Oral Care,Baby Care , Baby Bath & Hygiene
P0258,Drink - Fresh 'N' Juicy Mango (Frooti),Shower Gel & Body Wash,Beauty & Hygiene , Bath & Hand Wash
P0259,Moonfils Choco Cream (Bauli),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0260,Comb - 5 Flat Pocket Derby No 58 (Ego of Paris),Chocolates,Snacks & Branded Foods , Biscuits & Cookies
P0261,Shanti - Badam Amla Hair Oil (Nihar),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0263,Comb - Derby Deluxe No 05 (Ego of Paris),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0264,Ginger (Fresho),"Marie, Health, Digestive",Snacks & Branded Foods , Biscuits & Cookies
P0265,Ready Masala - Hyderabadi Biryani (Kohinoor),"Buns, Pavs & Pizza Base","Bakery, Cakes & Dairy ", Breads & Buns
P0266,Ready Masala - Punjabi Paneer (Kohinoor),Oats & Porridge,Snacks & Branded Foods , Breakfast Cereals
P0267,Ready Masala - Mumbai Pav Bhaji (Kohinoor),Oats & Porridge,Snacks & Branded Foods , Breakfast Cereals
P0268,Ready Masala - Dilli Choley (Kohinoor),Oats & Porridge,Snacks & Branded Foods , Breakfast Cereals
P0269,Ready Masala - Jammu Rajma (Kohinoor),Oats & Porridge,Snacks & Branded Foods , Breakfast Cereals
P0270,Ready Masala - Punjabi Butter Chicken (Kohinoor),Oats & Porridge,Snacks & Branded Foods , Breakfast Cereals
P0271,Instant Creamy Cup-a-Soup - Spinach (Keya),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0272,Scrub Pad (Scotch brite),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0274,Anti Bacto Scrub (Exo),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0275,Scrub Pad - Medium (Scrubit),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0276,Noodles - Chicken (Top Ramen ),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0277,Mogra Agarbatti (Arham),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0278,Herbal Incense Sticks - Goudhooli (Gou Ganga),Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy ", Cakes & Pastries
P0279,Cup-A-Soup - Chicken Delite (Knorr),Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0280,Instant Creamy - Mushroom Soup (Keya),"Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0281,Instant Cup-A-Soup - Creamy Chicken (Keya),Marigold,Fruits & Vegetables ," Flower Bouquets, Bunches"
P0282,Instant Creamy Cup-a-Soup - Tomato (Keya),"Gourd, Pumpkin, Drumstick",Fruits & Vegetables , Fresh Vegetables
P0283,Instant Cup-A-Soup - Hot & Sour Vegetable (Keya),Cut & Peeled Veggies,Fruits & Vegetables , Fresh Vegetables
P0284,Instant Soup - Creamy Mix Veg (Keya),Exotic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0285,Instant Cup-A-Soup - Sweet Corn Vegetable (Keya),Juices,Beverages , Fruit Juices & Drinks
P0286,Namak (Patanjali),"Croissants, Bagels","Bakery, Cakes & Dairy ", Gourmet Breads
P0287,Corn Rings - Masala Mania (Crax),Tools & Accessories,Beauty & Hygiene , Hair Care
P0289,Fritts - Cream & Onion (Crax),Hair Oil & Serum,Beauty & Hygiene , Hair Care
P0290,Corn Rings - Tangy Tomato (Crax),Tools & Accessories,Beauty & Hygiene , Hair Care
P0291,Flax Seeds (The Nibble Box),"Lemon, Ginger & Garlic",Fruits & Vegetables , Herbs & Seasonings
P0292,Fresh Tomato Ketchup (Kissan),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0293,"Mechanical Pencil - Da Vinci Ii, 0.7mm (Classmate)",Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0294,"Butter Milk - Uht, Spicy (Godrej Jersey)",Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0295,Soya Chunks - Mini (Nutrela),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0296,Soya Chunks (Nutrela),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0297,Filter Coffee (Lavazza),Blended Masalas,"Foodgrains, Oil & Masala ", Masalas & Spices
P0298,7 O Clock - Ready Ii Disposable Razor (Gillette),Herbs & Seasoning,"Foodgrains, Oil & Masala ", Masalas & Spices
P0299,Sweet Potato (Fresho),"Utensil Scrub-Pad, Glove",Cleaning & Household ," Mops, Brushes & Scrubs"
P0300,Gold Caramel Candy Stick (ALPENLIEBE),"Utensil Scrub-Pad, Glove",Cleaning & Household ," Mops, Brushes & Scrubs"
P0301,Classic Milk Chocolate Candy (Nestle ),"Utensil Scrub-Pad, Glove",Cleaning & Household ," Mops, Brushes & Scrubs"
P0302,"Chocolate Bar - Bar One, Charge (Nestle )",Instant Noodles,Snacks & Branded Foods ," Noodle, Pasta, Vermicelli"
P0303,Lettuce - Romaine (Fresho),"Agarbatti, Incense Sticks",Cleaning & Household , Pooja Needs
P0304,Lettuce - Red (Fresho),"Agarbatti, Incense Sticks",Cleaning & Household , Pooja Needs
P0305,Leeks (Fresho),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0309,Raw Mango (Fresho),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0310,Tasty Twist Sizzling Tandoori Multi-Use Seasoning (Kohinoor),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0311,Tasty Twist Dilli Chatpata Multi-Use Seasoning (Kohinoor),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0312,Tasty Twist Zingy Schezwan Multi-Use Seasoning (Kohinoor),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0313,Tasty Twist Mumbai Chowpatty Multi-Use Seasoning (Kohinoor),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0314,Tasty Twist Special Navratan Multi-Use Seasoning (Kohinoor),Soups,Snacks & Branded Foods , Ready To Cook & Eat
P0316,Kumkum (GOPURAM),Salts,"Foodgrains, Oil & Masala "," Salt, Sugar & Jaggery"
P0317,Winter Glow Face Cream (Glow & Lovely),Oats & Porridge,Snacks & Branded Foods , Snacks & Namkeen
P0318,Water Plus (Tata ),Oats & Porridge,Snacks & Branded Foods , Snacks & Namkeen
P0319,Organic Spouts Horse Gram (Fresho),Oats & Porridge,Snacks & Branded Foods , Snacks & Namkeen
P0321,Turmeric Powder/Arisina Pudi (Eastern),Oats & Porridge,Snacks & Branded Foods , Snacks & Namkeen
P0322,Celery (Fresho),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0323,Hommade - Imli Sauce (Saunth) (Dabur),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0324,Chow Chow (Fresho),Chips & Corn Snacks,Snacks & Branded Foods , Snacks & Namkeen
P0325,Tapioca (Fresho),Oats & Porridge,Snacks & Branded Foods , Snacks & Namkeen
P0326,Black Mustard/Sasive/Rai - Big (bb Popular),Dry Fruits & Berries,Gourmet & World Food ," Snacks, Dry Fruits, Nuts"
P0327,Toothbrush - Triple Clean Soft (Pepsodent),Tomato Ketchup & Sauces,Snacks & Branded Foods ," Spreads, Sauces, Ketchup"
P0328,Triple Clean Toothbrush - Medium (Pepsodent),"Pen, Pencils",Cleaning & Household , Stationery
P0329,"Dog Treats - Real Chicken Biscuits, Chicken Flavour (Purepet)",Cut & Peeled Veggies,Fruits & Vegetables , Cuts & Sprouts
P0330,"Dog Food - Chicken & Egg, Adult (Drools)",Buttermilk & Lassi,"Bakery, Cakes & Dairy ", Dairy
P0331,Salt/Uppu - Crystal (Akar),Cereals & Millets,"Foodgrains, Oil & Masala ", Dals & Pulses
P0332,Skin Lightening Natural Fruit Bleach (Olivia),Cereals & Millets,"Foodgrains, Oil & Masala ", Dals & Pulses
P0333,Skin Lightening Shiner Bleach With Diamond Dust (Olivia),Coffee & Pre-Mix,Gourmet & World Food , Drinks & Beverages
P0334,Skin Lightening Oxygen Bleach - Rich Fairness (Olivia),Exotic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0335,Mini Puffs - Cheese N Herbs (GoodDiet),Shaving Care,Beauty & Hygiene , Men's Grooming
P0336,Packaged Drinking Water (Bindu),"Potato, Onion & Tomato",Fruits & Vegetables , Fresh Vegetables
P0337,Anti Bacteria Fabric Stiffener - Instant Starch (Revive),"Toffee, Candy & Lollypop",Snacks & Branded Foods , Chocolates & Candies
P0339,Paste - Ginger Garlic (Eastern),Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0340,Powder - Tomato Rice (Annapoorna),Chocolates,Snacks & Branded Foods , Chocolates & Candies
P0341,Jeera Masala Flavoured Soda (Dhishoom),Exotic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0342,Digestive Biscuits - No Added Sugar (Mcvities),Exotic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0343,Treat Stars - Creme & Milk Choco Duo Cream Biscuits (Britannia),Exotic Vegetables,Fruits & Vegetables , Fresh Vegetables
P0344,Treat Stars - Creme & White Choco Duo Cream Biscuits (Britannia),Seasonal Fruits,Fruits & Vegetables , Fresh Fruits
P0345,Masala Oats - Chinese (Saffola),Herbs & Seasoning,"Foodgrains, Oil & Masala ", Masalas & Spices
P0346,Tapioca - Organically Grown (Fresho),Herbs & Seasoning,"Foodgrains, Oil & Masala ", Masalas & Spices
P0347,Pre Mixed Cubes - Rat Killer (HIT),Herbs & Seasoning,"Foodgrains, Oil & Masala ", Masalas & Spices
P0348,Green Chilly - Chopped (Fresho),Herbs & Seasoning,"Foodgrains, Oil & Masala ", Masalas & Spices
P0350,Chat Masala (bb Royal),Herbs & Seasoning,"Foodgrains, Oil & Masala ", Masalas & Spices
P0351,Pani Puri Masala (bb Royal),Other Pooja Needs,Cleaning & Household , Pooja Needs
P0352,Sambar Masala (bb Royal),Face Care,Beauty & Hygiene , Skin Care
P0353,Paneer Masala (bb Royal),Packaged Water,Beverages , Water
P0354,Powder - Chilli (Aashirvaad),Fresh Salads & Sprouts,Fruits & Vegetables , Cuts & Sprouts
P0355,Fennel/Saunf/Sompu - Small (bb Popular),Exotic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0356,Extra Clean Toothbrush Medium (Colgate),Exotic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
P0357,Instant Noodle - Special Chicken Flavour (Indomie),Exotic Vegetables,Fruits & Vegetables , Exotic Fruits & Veggies
